员工ID,真实姓名,身份证号,上级ID
yh001,张怡,230828196906250647,jinyi5
cyh9489,陈禹杭,232700199403759234,yh001
wyj9489,温亚杰,232700197102610574,cyh9489
sym5972,尚玉梅,232724196406267934,wyj9489
gqh1451,高青海,232321196810749631,sym5972
gqh5438,高青海,232321196810870291,gqh1451
gq6575,高庆,232723199304453781,gqh1451
zzl8292,张忠良,232332198810952607,sym5972
lsz3269,柳淑芝,232332196608627309,zzl8292
gyh6866,郭玉华,152103197511095318,sym5972
zsh0868,张淑华,232724196901120734,sym5972
mbs0868,满佰生,232724196408289605,zsh0868
ldy2958,李殿义,232724196312147692,zsh0868
mqh2626,马秋环,232724196305428369,zsh0868
yyh5066,杨艳慧,232723199101479810,mqh2626
yyl4488,杨艳丽,232724198702623578,mqh2626
mfz3531,孟凡珍,232723196709579862,zsh0868
zsh1239,张淑华,232724196901267830,zsh0868
zxl1579,张先玲,232724196512394751,sym5972
qgx6177,钱桂香,232724195709794362,sym5972
lgx5380,李桂香,232332196810610983,qgx6177
lsf4184,李淑芳,232332198011487639,lgx5380
sgq1474,孙桂琴,232724195210159742,qgx6177
lj6614,刘菊,370911197509461857,qgx6177
ll2229,刘丽,370911197708154763,lj6614
ljf8027,李金凤,232724198208721683,qgx6177
lhz8249,罗会芝,230704196706368497,sym5972
hss2072,郝淑生,230704197207423195,lhz8249
hss2072a,郝淑生,230704197207394561,hss2072
lgx8385,李公喜,230704197301970524,hss2072
pgh9839,庞桂花,230704196711529108,hss2072
ll6030,雷琳,230108198404359018,hss2072
hx3564,韩旭,230108198003390216,hss2072
ycy4336,姚长艳,230706196311491723,hss2072
dfz8493,丁凤芝,152127196912416257,sym5972
cy1246,曹毅,152102196901850241,dfz8493
ycg1527,杨春光,220121197001725103,sym5972
9922,曹红生,230622197306594716,ycg1527
ylg1759,闫立国,232724196309918637,sym5972
scm7172,舒春梅,232724197104817349,ylg1759
zwy9579,郑文英,152127196005251803,sym5972
ckx8195,程开秀,512222196605824153,sym5972
zsq7189,赵淑芹,230422194403306791,sym5972
yjm3885,杨金梅,230422197303591643,zsq7189
yjl9977,杨金良,230422196301632457,zsq7189
zsz2922,赵淑珍,230225194708390126,zsq7189
sdj2895,申东菊,232724195710692584,sym5972
xdg1722,谢德贵,232724195901859360,sym5972
yy1556,袁勇,232724196806921507,xdg1722
wjh9095,王建华,232700197307471603,yy1556
ssq1156,孙素清,232724196904740152,yy1556
ysh1838,易淑华,232724196403614579,xdg1722
yyn5384,易亚娜,232700197402132840,xdg1722
nz6998,倪倬,232700200404465137,yyn5384
sc3880,孙超,232700199401167539,yyn5384
zjy1161,赵俊英,230229196705903675,xdg1722
lgq9770,李国庆,230229197902358402,zjy1161
